price,miles,fuel_type,exterior_color,interior_color,drivetrain,transmission,engine,model_name
74990,5, Diesel, Agate Black, Black, 4WD,Auto,V2,F-350
31533,7, Gasoline, Ruby Red, Medium Light Stone, 4WD,Auto,V2,Escape
75037,10, Gasoline, White Platinum Tri-Coat Metallic, Medium Stone, 4WD,Auto,V2,Expedition Max
49266,3, Gasoline, Magnetic Metallic, Black, RWD,Auto,V2,Mustang
34410,13, Gasoline, Oxford White, Cloth Pewter, RWD,Auto,V6,Transit-150
37500,51, Gasoline, Ingot Silver Metallic, Pewter, RWD,Auto,V2,Transit-350
71380,8698, Diesel, White Platinum Tri-Coat Metallic, Black, 4WD,Auto,V2,F-250
41947,9, Gasoline, Shadow Black, Medium Light Camel, 4WD,Auto,V2,F-150
15728,20107, Gasoline, Ruby Red Metallic Tinted Clearcoat, Black, FWD,Auto,V4,Fusion
34895,6, Gasoline, Shadow Black, Charcoal Black, FWD,Auto,V2,Taurus
56980,13, Diesel, Bright White Clearcoat, Diesel Gray/Black, 4WD,Auto,V4,Model Unknown
21999,81398, Diesel, Red, Medium Stone, 4WD,Auto,V2,F-350
22939,23128, Gasoline, Red, Ebony, FWD,Auto,V2,Edge
27952,39967, Gasoline, Shadow Black, Charcoal Black, AWD,Auto,V2,Flex
59906,4, Gasoline, Ruby Red Metallic Tinted Clearcoat, Medium Stone, RWD,Auto,V2,Expedition
48471,10, Gasoline, Ingot Silver Metallic, Ebony Black, 4WD,Auto,V2,Explorer
24848,4, Gasoline, Blue Metallic, Black, FWD,Manual,V2,Focus ST
50048,1, Gasoline, Ingot Silver Metallic - Silver, Medium Earth Gray Cloth, Four Wheel Drive,Auto,V3,F-150
37085,4, E85 Flex Fuel, White, Pewter, RWD,Auto,V2,Transit-250
47668,4, Gasoline, Oxford White, Black, 4WD,Auto,V2,F-150
13000,9071, Gasoline, Gray, Charcoal Black, FWD,Manual,V2,Focus
20762,14168, E85 Flex Fuel, Oxford White, Charcoal Black, FWD,Auto,V2,Taurus
39989,98288, Diesel, Oxford White, Black, 4WD,Auto,V2,F-250
75000,761, Gasoline, Gray, Black, Rear Wheel Drive,Manual,V8,Mustang
25658,5, Gasoline, Shadow Black, Ebony, AWD,Auto,V2,Edge
10950,93905, Gasoline, White, Gray, FWD,Auto,V2,Transit Connect
4995,182962, Diesel, Blue, Gray, 4WD,Auto,V6,F-350
21995,9495, Gasoline, Screaming Yellow, Dark Charcoal, RWD,Auto,V2,Mustang
12489,27471, E85 Flex Fuel, Kona Blue, Charcoal Black, FWD,Auto,V2,Focus
18999,49717, Gasoline, Tuxedo Black, Charcoal Black, AWD,Auto,V2,Escape
11998,36100, E85 Flex Fuel, Red, Charcoal Black, FWD,Auto,V2,Focus
43061,2, Gasoline, Ruby Red Metallic, Medium Light Camel, 4WD,Auto,V2,F-150
18495,39338, Gasoline, Silver, Ebony, RWD,Auto,V4,Mustang
15545,61303, Gasoline, Silver, Charcoal Black, FWD,Auto,V2,Taurus
23570,10, Gasoline, Frozen White, Ebony, FWD,Auto,V2,Transit Connect
42000,1, Gasoline, White Platinum Clearcoat Metallic, Charcoal Black, AWD,Auto,V2,Flex
17995,155686, Diesel, Oxford White, Camel, 4WD,Auto,V2,F-350
19950,40226, Gasoline, Burgundy, Gray, Automatic 5-Speed,Auto,V6,F-250
27451,5, Gasoline, Shadow Black, Ebony, FWD,Auto,V2,Edge
33851,8, E85 Flex Fuel, Black Metallic, Charcoal Black, 4WD,Auto,V2,Escape
23995,16845, Gasoline, White, Medium Pewter, RWD,Auto,V2,Model Unknown
16995,10, Gasoline, Magnetic Metallic, Medium Light Stone, FWD,Auto,V2,Focus
29799,91435, Gasoline, White Platinum Clearcoat Metallic, Ebony, 4WD,Auto,V2,Expedition EL
15999,80480, Gasoline, White, Black, AWD,Auto,V2,Edge
11631,29989, E85 Flex Fuel, Ingot Silver, Charcoal Black, FWD,Auto,V2,Focus
16036,27365, Gasoline, White Platinum Tri-Coat Metallic, Medium Soft Ceramic, FWD,Auto,V4,Fusion
16995,82588, Gasoline, White, Black, 4WD,Auto,V2,Explorer
24520,55819, Gasoline, Ingot Silver Metallic, Ebony, AWD,Auto,V2,Edge
30539,22993, Gasoline, Blue Jeans Metallic, Dark Earth Gray, AWD,Auto,V3,Explorer
11414,32890, Gasoline, Magnetic, Charcoal Black, FWD,Auto,V2,Focus
55999,21235, Gasoline, Shadow Black, Ebony, 4WD,Auto,V2,Expedition Max
34977,13399, Gasoline, Electric Red, White Leather, RWD,Auto,V5,Mustang
16096,6, Gasoline, Shadow Black, Charcoal Black, FWD,Auto,V2,Focus
25993,12, E85 Flex Fuel, Ruby Red Metallic, Charcoal Black, FWD,Auto,V2,Taurus
39138,3, Gasoline, Black Metallic, Ebony Black, 4WD,Auto,V2,Explorer
29000,42580, Gasoline, Gray, Ebony Black, 4WD,Auto,V2,Explorer
36581,2, Gasoline, Oxford White, Ebony Black, FWD,Auto,V2,Explorer
43545,10, Gasoline, Magnetic, Ebony, 4WD,Auto,V2,Explorer
26995,36226, Gasoline, Oxford White, Pewter, RWD,Auto,V2,Transit-250
44765,3, E85 Flex Fuel, Magma Red Metallic, Dark Earth Gray, 4WD,Auto,V6,F-150
21750,13, E85 Flex Fuel, Magnetic Metallic, Charcoal Black, FWD,Auto,V2,Taurus
18780,29661, Gasoline, Gray, Gray, FWD,Manual,V2,Focus ST
5495,162323, Gasoline, Gray, Black, FWD,Auto,V2,Fusion
26999,34918, Gasoline, White Platinum Tri-Coat Metallic, Black, AWD,Auto,V2,Edge
33788,1, Gasoline, White Platinum Metallic Tri-Coat, Charcoal Black, 4WD,Auto,V2,Escape
25000,39090, E85 Flex Fuel, Ingot Silver Metallic, Charcoal, RWD,Auto,V2,Transit-150
35237,3, Gasoline, Shadow Black, Ebony, RWD,Auto,V2,Mustang
41465,12, Gasoline, Ruby Red Metallic Tinted Clearcoat, Medium Earth Gray, 4WD,Auto,V2,F-150
18015,5, Gasoline, Oxford White, Charcoal Black, FWD,Auto,V2,Focus
41135,8, Gasoline, Shadow Black, Ebony Black, 4WD,Auto,V2,Explorer
36491,3, Gasoline, White, Ebony Black, FWD,Auto,V3,Explorer
19578,93, Gasoline, Shadow Black, Medium Stone, 4WD,Auto,V2,EcoSport
46215,25, E85 Flex Fuel, Ruby Red Metallic Tinted Clearcoat, Medium Earth Gray, 4WD,Auto,V2,F-250
23435,10, Gasoline, White Platinum Tri-Coat Metallic, Charcoal Black, 4WD,Auto,V4,Escape
40574,2, Gasoline, Ruby Red Metallic Tinted Clearcoat, Ebony, AWD,Auto,V2,Edge
8000,81296, Gasoline, Cinnamon, Charcoal Black, Front Wheel Drive,Auto,V2,Fusion
55270,10, Gasoline, Ingot Silver, Ebony, 4WD,Auto,V2,Expedition
16995,10, Gasoline, Magnetic Metallic, Medium Light Stone, FWD,Auto,V2,Focus
25410,2, Gasoline, Oxford White, Ebony, FWD,Auto,V4,Fusion
28746,88189, Diesel, Dark Shadow Gray Metallic, Gray, 4WD,Auto,V3,F-350
39145,1, Gasoline, Oxford White, Pewter, RWD,Auto,V2,Transit-250
25375,6, Gasoline, Smoke, Ebony Black, 4WD,Auto,V2,EcoSport
23735,4, Gasoline, J7 Magnetic Metallic, Ebony, FWD,Auto,V2,Fusion
28664,95, Gasoline, Ruby Red Metallic Tinted Clearcoat, Charcoal Black, 4WD,Auto,V4,Escape
19991,80395, Gasoline, Black, Charcoal Black, RWD,Auto,V3,Mustang
8995,83433, Gasoline, Black, Black, FWD,Auto,V2,Focus
26651,3, E85 Flex Fuel, Burgundy Velvet Metallic Tinted Clearcoat - Red, Dune Leather, Front Wheel Drive,Auto,V3,Taurus
21995,22275, Gasoline, Ingot Silver, Charcoal Black, 4WD,Auto,V2,Escape
